true_master_id,submitted_brand,submitted_product_name,submitted_quantity,submitted_gtin,corruption_applied
25,ANDREX LTD,CLASSIC CLEAN TOILET TISSUE,9 rolls,5000000000258,brand_abbrev|name_upper|unit_reformatted
4,CDBRY,Dairy Milk Buttons,0.030kg,5000000000043,brand_abbrev|unit_reformatted
29,DREAMIES,DREAMIES CAT TREATS,0.060kg,5000000000296,brand_abbrev|name_truncated|name_upper|unit_reformatted
1,MRS,Mars Bar,51g,5000000000012,brand_abbrev|name_truncated
23,MCCAIN,OVEN CHIPS,1kg,5000000000234,brand_abbrev|name_upper
30,Baker's,BAKERS ADULT DOG FOOD BEEF,1.2kg,5000000000302,brand_abbrev|name_upper|unit_reformatted
3,CDBRY,Dairy Milk Chocolate,45g,5000000000036,brand_abbrev|name_truncated
5,Nestle,KitKat 4 Finger,0.042kg,5000000100050,unit_reformatted|barcode_error
13,PepsiCo,Pepsi Max,0.33L,5000000000135,name_truncated|unit_reformatted
17,DANON,Activia Strawberry,4x115g,5000000010173,brand_abbrev|name_truncated|barcode_error
13,pepsico,Pepsi Max,0.33L,5000000000135,brand_abbrev|name_truncated|unit_reformatted
8,Heinz,BAKED BEANS IN TOMATO,0.415kg,5000000000081,name_truncated|name_upper|unit_reformatted
9,KLGS,Corn Flakes,500g,5000000000098,brand_abbrev
18,Danone,Actimel Original,8x100g,5000000000190,unit_reformatted|barcode_error
9,Kelloggs,Corn Flakes,0.500kg,5000000000098,unit_reformatted
3,Cadburys,Dairy Milk Chocolate,45g,5000000000036,brand_abbrev|name_truncated
9,Kellogg's,CORN FLAKES,0.500kg,4000000000098,brand_abbrev|name_upper|unit_reformatted|barcode_error
21,HOVIS LTD,Wholemeal Bread,0.800kg,5000000000210,brand_abbrev|name_truncated|unit_reformatted
1,Mars,MARS BAR,51g,5000000000012,name_truncated|name_upper
17,DANON,Activia Strawberry,4x115g,5000000000173,brand_abbrev|name_truncated|unit_reformatted
27,Pedigree,Pedigree Adult Dog Food Chicken,1.2kg,500000000272,unit_reformatted|barcode_error
23,McCain Foods,Oven Chips,1kg,500000000234,brand_abbrev|name_truncated|unit_reformatted|barcode_error
29,DREAMIES,Dreamies Cat Treats,0.060kg,5000000000296,brand_abbrev|name_truncated|unit_reformatted
