event_id,true_master_id,supplier_raw_brand,supplier_raw_product_name,supplier_raw_quantity,supplier_raw_gtin,supplier_norm_brand,supplier_norm_product_name,supplier_norm_quantity,supplier_norm_gtin,artwork_brand,artwork_product_name,artwork_quantity,artwork_gtin,artwork_norm_brand,artwork_norm_quantity,master_brand,master_product_name,master_quantity,master_gtin,master_norm_brand,master_norm_quantity
abt-buy_0029,91,Canon,"Canon Ink Cartridge For PIXMA iP1600, iP6210D and iP6220D Printers - 0617B002",,80000000000917,canon,"canon ink cartridge for pixma ip1600, ip6210d and ip6220d printers - 0617b002",,80000000000917,,,,,,,,Canon Color Ink Tank - CL41CL,,80000000000917,,
abt-buy_0030,435,Canon,"Canon Ink Cartridge For PIXMA iP4200, iP5200, iP5200R and iP6600D Printers - 0620B002",,80000000004357,canon,"canon ink cartridge for pixma ip4200, ip5200, ip5200r and ip6600d printers - 0620b002",,80000000004357,,,,,,,,Canon Black Photo Ink Cartridge - CLI8B,,80000000004357,,
abt-buy_0031,92,Canon,Canon CLI-8C Ink Cartridge - 0621B002,,80000000000927,canon,canon cli-8c ink cartridge - 0621b002,,80000000000927,,,,,,,,Canon Cyan Ink Tank - Cyan - CLI8C,,80000000000927,,
abt-buy_0032,96,Canon,Canon CLI-8Y Ink Cartridge - 0623B002,,80000000000967,canon,canon cli-8y ink cartridge - 0623b002,,80000000000967,,,,,,,,Canon Yellow Ink Cartridge - Yellow - CLI8Y,,80000000000967,,
abt-buy_0033,97,Canon,Canon Black Ink Cartridge - 0615B002,,80000000000977,canon,canon black ink cartridge - 0615b002,,80000000000977,,,,,,,,Canon Black Ink Cartridge - Black - PG40BK,,80000000000977,,
abt-buy_0034,199,Canon,Canon PGI-5BK Black Ink Cartridge - 0628B002,,80000000001997,canon,canon pgi-5bk black ink cartridge - 0628b002,,80000000001997,,,,,,,,Canon PGI-5BK Black Ink Tank Cartridge - PGI5BK,,80000000001997,,
abt-buy_0035,759,Peerless,Peerless Universal Flat Wall Mount - SF640P,,80000000007597,peerless,peerless universal flat wall mount - sf640p,,80000000007597,,,,,,,,Peerless 23' - 46' Universal Flat Panel TV Black Wall Mount - SF640P,,80000000007597,,
abt-buy_0036,107,Netgear,Netgear ProSafe FS116P Ethernet Switch - FS116PNA,,80000000001077,netgear,netgear prosafe fs116p ethernet switch - fs116pna,,80000000001077,,,,,,,,Netgear ProSafe 16 Port 10/100 Desktop Switch - Purple Finish - FS116P,,80000000001077,,
abt-buy_0037,729,Peerless,Peerless Universal Tilt Wall Mount,,80000000007297,peerless,peerless universal tilt wall mount,,80000000007297,,,,,,,,Peerless 37' - 60' Flat Panel TV Black Wall Mount  - ST660P,,80000000007297,,
abt-buy_0038,1004,Netgear,Netgear ProSafe JGS524F 24-Port Gigabit Ethernet Switch - JGS524FNA,,80000000010047,netgear,netgear prosafe jgs524f 24-port gigabit ethernet switch - jgs524fna,,80000000010047,,,,,,,,Netgear ProSafe 24-Port Gigabit Rackmount Switch With 2 SFP Slots - JGS524F,,80000000010047,,
abt-buy_0039,1065,Tripp Lite,Tripp Lite Video Cable - P502-025,,80000000010657,tripp lite,tripp lite video cable - p502-025,,80000000010657,,,,,,,,Tripp-Lite Black 25 Foot SVGA HD15M To HD15M Computer Monitor Cable - P502025,,80000000010657,,
abt-buy_0040,410,Logitech,Logitech diNovo Media Desktop Laser - 967562-0403,,80000000004107,logitech,logitech dinovo media desktop laser - 967562-0403,,80000000004107,,,,,,,,Logitech diNovo Media Desktop Laser Keyboard And Mouse Combo - 967562,,80000000004107,,
abt-buy_0041,410,Logitech,Logitech Cordless Desktop MX 5000 Laser - 967562-0403,,80000000004107,logitech,logitech cordless desktop mx 5000 laser - 967562-0403,,80000000004107,,,,,,,,Logitech diNovo Media Desktop Laser Keyboard And Mouse Combo - 967562,,80000000004107,,
abt-buy_0042,110,Canon,"Canon CL-51 High Capacity Color Ink Cartridge For PIXMA MP450, PIXMA iP6210D and PIXMA iP6220D Printers - 0618B002",,80000000001107,canon,"canon cl-51 high capacity color ink cartridge for pixma mp450, pixma ip6210d and pixma ip6220d printers - 0618b002",,80000000001107,,,,,,,,Canon High Capacity Color Ink Cartridge - Color Ink - CL51,,80000000001107,,
abt-buy_0043,293,Canon,Canon PG-50 High Capacity Black Ink Cartridge For PIXMA MP450 Printer - 0616B002,,80000000002937,canon,canon pg-50 high capacity black ink cartridge for pixma mp450 printer - 0616b002,,80000000002937,,,,,,,,Canon Black Ink Cartridge - PG50,,80000000002937,,
abt-buy_0044,111,Canon,Canon CL-52 Photo Ink Cartridge For PIXMA iP6210D and PIXMA iP6220D Printers - 0619B002,,80000000001117,canon,canon cl-52 photo ink cartridge for pixma ip6210d and pixma ip6220d printers - 0619b002,,80000000001117,,,,,,,,Canon Photo Ink Cartridge - CL52,,80000000001117,,
abt-buy_0045,50,DeLonghi,"DeLonghi DC50B Twenty Four Seven Drip Coffee Maker, Black",,80000000000507,delonghi,"delonghi dc50b twenty four seven drip coffee maker, black",,80000000000507,,,,,,,,Delonghi Twenty Four Seven Coffee Maker In Black - DC50B,,80000000000507,,
abt-buy_0046,1072,Panasonic,Panasonic DVD-RAM Media - LM-AF30U3,,80000000010727,panasonic,panasonic dvd-ram media - lm-af30u3,,80000000010727,,,,,,,,Panasonic LM-AF30U3 Three Pack Of Single-Sided 30 Minute DVD-RAM Discs - LMAF30U3,,80000000010727,,
abt-buy_0047,404,Belkin,Belkin Hi-Speed USB 2.0 7-Port Hub - F5U237-APL-S,,80000000004047,belkin,belkin hi-speed usb 2.0 7-port hub - f5u237-apl-s,,80000000004047,,,,,,,,Belkin Hi-Speed USB 2.0 7-Port Hub - F5U237APLS,,80000000004047,,
abt-buy_0048,994,Canon,Canon EF 70-300mm f/4-5.6 IS USM Telephoto Zoom Lens - 0345B002,,80000000009947,canon,canon ef 70-300mm f/4-5.6 is usm telephoto zoom lens - 0345b002,,80000000009947,,,,,,,,Canon Black EF 70-300mm F/4-5.6 IS USM Telephoto Zoom Lens - 0345B002,,80000000009947,,
abt-buy_0049,58,"UNIVERSAL REMOTE CONTROL, INC",Universal Aeros IR/RF Remote Control - MX850,,80000000000587,"universal remote control, inc",universal aeros ir/rf remote control - mx850,,80000000000587,,,,,,,,Universal IR/RF Aeros Remote Control- MX850 - MX850,,80000000000587,,
abt-buy_0050,57,"UNIVERSAL REMOTE CONTROL, INC",Universal MX-350 Osiris Remote Control - MX350,,80000000000577,"universal remote control, inc",universal mx-350 osiris remote control - mx350,,80000000000577,,,,,,,,Universal IR/RF Remote - MX350,,80000000000577,,
abt-buy_0051,78,Panasonic,Panasonic NN-H965BF Microwave Oven - Counter Top - 2.2ft - 1250W - Black,,80000000000787,panasonic,panasonic nn-h965bf microwave oven - counter top - 2.2ft - 1250w - black,,80000000000787,,,,,,,,Panasonic Genius Countertop Microwave In Black - NNH965BK,,80000000000787,,
abt-buy_0052,72,Panasonic,Panasonic NN-H965WF Luxury Full-Size 2-1/5-Cubic-Foot 1250-Watt Microwave Oven- White,,80000000000727,panasonic,panasonic nn-h965wf luxury full-size 2-1/5-cubic-foot 1250-watt microwave oven- white,,80000000000727,,,,,,,,Panasonic Genius Countertop Microwave In White - NNH965WH,,80000000000727,,
abt-buy_0053,345,LINKSYS,Linksys Wireless-G WRT54GL Broadband Router,,80000000003457,linksys,linksys wireless-g wrt54gl broadband router,,80000000003457,,,,,,,,Linksys Wireless-G Broadband Router - WRT54GL,,80000000003457,,
abt-buy_0054,163,Terk Technologies,Audiovox XM6 Outdoor Home Antenna - XM-6,,80000000001637,terk technologies,audiovox xm6 outdoor home antenna - xm-6,,80000000001637,,,,,,,,Terk XM Outdoor Home Antenna - Grey Finish - XM6,,80000000001637,,
abt-buy_0055,77,Nikon,Nikon Speedlight SB-600 AF Flash Light - 4802,,80000000000777,nikon,nikon speedlight sb-600 af flash light - 4802,,80000000000777,,,,,,,,Nikon AF Speedlight Accessory - SB600,,80000000000777,,
abt-buy_0056,283,Kensington,Kensington MicroSaver Notebook Lock - 64068F,,80000000002837,kensington,kensington microsaver notebook lock - 64068f,,80000000002837,,,,,,,,Kensington MicroSaver Keyed Notebook Lock - 64068F,,80000000002837,,
abt-buy_0057,1022,LINKSYS,Linksys Wireless-G WUSB54GC Compact USB Adapter,,80000000010227,linksys,linksys wireless-g wusb54gc compact usb adapter,,80000000010227,,,,,,,,Linksys Compact Wireless-G USB Adapter - WUSB54GC,,80000000010227,,
abt-buy_0058,265,Sirius,Sirius Outdoor Home Antenna - 14240,,80000000002657,sirius,sirius outdoor home antenna - 14240,,80000000002657,,,,,,,,Sirius External Home Antenna - 14240,,80000000002657,,
abt-buy_0059,197,Sony,Sony Ribbon and Paper with Snap-Off Edges For DPP-FP50 Digital Photo Printer - SVMF120P,,80000000001977,sony,sony ribbon and paper with snap-off edges for dpp-fp50 digital photo printer - svmf120p,,80000000001977,,,,,,,,Sony Digital Photo Printer Paper 120 Pack - SVMF120P,,80000000001977,,
abt-buy_0060,120,Sanus,Sanus VCD/DVD Wall Mount - VMAVB,,80000000001207,sanus,sanus vcd/dvd wall mount - vmavb,,80000000001207,,,,,,,,Sanus VMAV Black VisionMount Component Wall Shelf VMAVB In Black - VMAVB,,80000000001207,,
abt-buy_0061,109,Logitech,Logitech Harmony 890 Advanced Universal Remote - 966193-0403,,80000000001097,logitech,logitech harmony 890 advanced universal remote - 966193-0403,,80000000001097,,,,,,,,Logitech Harmony 890 Advanced Universal Remote Control - H890,,80000000001097,,
abt-buy_0062,109,Logitech,"Logitech Harmony 890 Advanced Universal Remote - HDTV, TV, DVD Player(s), Lighting, Audio System - 100 ft - Universal Remote - 966193-0403",,80000000001097,logitech,"logitech harmony 890 advanced universal remote - hdtv, tv, dvd player(s), lighting, audio system - 100 ft - universal remote - 966193-0403",,80000000001097,,,,,,,,Logitech Harmony 890 Advanced Universal Remote Control - H890,,80000000001097,,
abt-buy_0063,228,Sony,Sony VAIO SZ Series Docking Station - VGPPRSZ1,,80000000002287,sony,sony vaio sz series docking station - vgpprsz1,,80000000002287,,,,,,,,Sony VAIO VGP-PRSZ1 SZ Series Docking Station - VGPPRSZ1,,80000000002287,,
abt-buy_0064,54,Sony,Sony Print Paper - SVMF40P,,80000000000547,sony,sony print paper - svmf40p,,80000000000547,,,,,,,,Sony Digital Photo Printer Paper 40 Pack  - SVMF40P,,80000000000547,,
abt-buy_0065,797,Canon,Canon Canon CB-2LW Battery Charger - 0763B001,,80000000007977,canon,canon canon cb-2lw battery charger - 0763b001,,80000000007977,,,,,,,,Canon Battery Charger - 0763B001,,80000000007977,,
abt-buy_0066,122,TiVo,Tivo AG0100 Wireless G USB Network Adapter,,80000000001227,tivo,tivo ag0100 wireless g usb network adapter,,80000000001227,,,,,,,,Tivo Wireless Adapter - AG0100,,80000000001227,,
abt-buy_0067,126,TiVo,TiVo TCD649080 - Series2 Digital Video Recorder - Up to 80 Hours Capacity,,80000000001267,tivo,tivo tcd649080 - series2 digital video recorder - up to 80 hours capacity,,80000000001267,,,,,,,,TiVo Series2 Dual Tuner Digital Video Recorder - TCD649080,,80000000001267,,
abt-buy_0068,181,Lowepro,"Lowepro Rezo 15 Camera Case - MicroFiber, Ripstop Nylon - Black (Black)",,80000000001817,lowepro,"lowepro rezo 15 camera case - microfiber, ripstop nylon - black (black)",,80000000001817,,,,,,,,Lowepro Digital Camera Case In Black - REZO15BK,,80000000001817,,
abt-buy_0069,201,Lowepro,"Lowepro SlingShot 200 AW Camera Backpack - Backpack - MicroFiber, Ripstop Nylon - Black, Gray (Black)",,80000000002017,lowepro,"lowepro slingshot 200 aw camera backpack - backpack - microfiber, ripstop nylon - black, gray (black)",,80000000002017,,,,,,,,Lowepro SlingShot 200 AW Digital Camera Back Pack - SLINGSHOT200AW,,80000000002017,,
abt-buy_0070,182,Lowepro,"Lowepro Edit 100 Case for Camcorder - Nylon, MicroFiber - Black (Black)",,80000000001827,lowepro,"lowepro edit 100 case for camcorder - nylon, microfiber - black (black)",,80000000001827,,,,,,,,Lowepro Digital Camera Case In Black - EDIT100BK,,80000000001827,,
abt-buy_0071,156,Lucasarts Ent.,Lego Star Wars 2: The Original Trilogy,,80000000001567,lucasarts ent.,lego star wars 2: the original trilogy,,80000000001567,,,,,,,,LEGO Star Wars II: The Original Trilogy Video Game For The Sony PSP - 023272329396,,80000000001567,,
abt-buy_0072,192,Panasonic,Panasonic KX-TGA450B Cordless Handset,,80000000001927,panasonic,panasonic kx-tga450b cordless handset,,80000000001927,,,,,,,,Panasonic KX-TGA450B Black 5.8 GHz Cordless Handset - KXTGA450B,,80000000001927,,
abt-buy_0073,147,Panasonic,Panasonic KX-TG6700B Cordless Telephone,,80000000001477,panasonic,panasonic kx-tg6700b cordless telephone,,80000000001477,,,,,,,,Panasonic 2 Line 5.8 GHz FHSS GigaRange Expandable Digital Cordless Answering System - Black Finish - KXTG6700B,,80000000001477,,
abt-buy_0074,148,Panasonic,Panasonic KX-TGA670B Cordless Handset,,80000000001487,panasonic,panasonic kx-tga670b cordless handset,,80000000001487,,,,,,,,Panasonic 5.8GHz Add-On Handset For The KXTG6700B Phone System - Black Finish - KXTGA670B,,80000000001487,,
abt-buy_0075,225,Fellowes,Fellowes Powershred Personal W11C Shredder - 30100,,80000000002257,fellowes,fellowes powershred personal w11c shredder - 30100,,80000000002257,,,,,,,,Fellowes Confetti Cut Shredder - W11C,,80000000002257,,
abt-buy_0076,788,Sirius,Directed Electronics Antenna Extension Cable - 14230,,80000000007887,sirius,directed electronics antenna extension cable - 14230,,80000000007887,,,,,,,,Directed 50ft Extension Cable - 14230,,80000000007887,,
abt-buy_0077,118,Weber,Weber Q 300 Gas Grill,,80000000001187,weber,weber q 300 gas grill,,80000000001187,,,,,,,,Weber Q 300 Liquid Propane Outdoor Grill - 426001,,80000000001187,,
abt-buy_0078,136,Sony,Sony Learning Remote Control - RMVL600,,80000000001367,sony,sony learning remote control - rmvl600,,80000000001367,,,,,,,,Sony Learning Remote Control - Silver Finish - RMVL600,,80000000001367,,
abt-buy_0079,123,Uniden,Uniden TCX905 Cordless Handset - TCX905,,80000000001237,uniden,uniden tcx905 cordless handset - tcx905,,80000000001237,,,,,,,,Uniden 5.8GHz Accessory Handset And Charger - TCX905,,80000000001237,,
abt-buy_0080,85,Pioneer,Pioneer Nautica Marine Remote Control,,80000000000857,pioneer,pioneer nautica marine remote control,,80000000000857,,,,,,,,Pioneer Wired Marine Remote Control Display - CDMR80D,,80000000000857,,
abt-buy_0081,727,Pioneer,Pioneer TS-P462 Speaker,,80000000007277,pioneer,pioneer ts-p462 speaker,,80000000007277,,,,,,,,Pioneer 4'x6' 2-Way Component Plate Speaker - TSP462,,80000000007277,,
abt-buy_0082,940,Pioneer,Pioneer Nautica TS-MR1640 Marine Speaker - TS-MR1640,,80000000009407,pioneer,pioneer nautica ts-mr1640 marine speaker - ts-mr1640,,80000000009407,,,,,,,,Pioneer 6.5' 2-Way Marine White Speakers - TSMR1640FM,,80000000009407,,
abt-buy_0083,799,Canon,Canon NB-5L Lithium-Ion Digital Camera Battery - 1135B001,,80000000007997,canon,canon nb-5l lithium-ion digital camera battery - 1135b001,,80000000007997,,,,,,,,Canon NB-5L Lithium Battery - 1135B001,,80000000007997,,
abt-buy_0084,5,BOSE,Boss 161 Speaker,,80000000000057,bose,boss 161 speaker,,80000000000057,,,,,,,,Bose 27028 161 Bookshelf Pair Speakers In White - 161WH,,80000000000057,,
abt-buy_0085,86,BOSE,Bose PMCII Remote Control,,80000000000867,bose,bose pmcii remote control,,80000000000867,,,,,,,,Bose Second Zone Remote - PMC2,,80000000000867,,
abt-buy_0086,323,Apple,Apple DVI to mini-DVI Video Cable Adapter - M9321GB,,80000000003237,apple,apple dvi to mini-dvi video cable adapter - m9321gb,,80000000003237,,,,,,,,Apple Mini-DVI To DVI Adapter - M9321GB,,80000000003237,,
abt-buy_0087,400,Peerless,Peerless PLAV70-UNLP-S Articulating Dual-Arm with Vertical Adjustment - PLAV70 UNLPS,,80000000004007,peerless,peerless plav70-unlp-s articulating dual-arm with vertical adjustment - plav70 unlps,,80000000004007,,,,,,,,Peerless 42' - 71'  Articulating Flat Panel TV Silver Dual Wall Arm Mount - PLAV70UNLPS,,80000000004007,,
abt-buy_0088,177,Sanus,Sanus VisionMount Flat Panel TV Wall Mount - MF110-B1,,80000000001777,sanus,sanus visionmount flat panel tv wall mount - mf110-b1,,80000000001777,,,,,,,,Sanus 15' - 40' VisionMount Flat Panel TV Black Wall Mount - MF110B,,80000000001777,,
abt-buy_0089,168,Sanus,Sanus VisionMount Flat Panel TV Wall Mount - ML22-B1,,80000000001687,sanus,sanus visionmount flat panel tv wall mount - ml22-b1,,80000000001687,,,,,,,,Sanus 15' To 40' Flat Panel Black TV Wall Mount - ML22B1,,80000000001687,,
abt-buy_0090,171,Sanus,Sanus VisionMount Tilting Flat Panel TV Wall Mount - MT25-B1,,80000000001717,sanus,sanus visionmount tilting flat panel tv wall mount - mt25-b1,,80000000001717,,,,,,,,Sanus 15' - 40' VisionMount Flat Panel TV Black Wall Mount - MT25B1,,80000000001717,,
abt-buy_0091,8,Panasonic,Panasonic SDYD250 Automatic Bread Maker,,80000000000087,panasonic,panasonic sdyd250 automatic bread maker,,80000000000087,,,,,,,,Panasonic Yeast Pro Automatic Breadmaker - SDYD250,,80000000000087,,
abt-buy_0092,800,Canon,Canon PSC-55 Deluxe Leather Camera Case - 1588B001,,80000000008007,canon,canon psc-55 deluxe leather camera case - 1588b001,,80000000008007,,,,,,,,Canon Black Leather Camera Case - 1588B001,,80000000008007,,
abt-buy_0093,183,Garmin,Garmin GA 25MCX Low Profile Remote GPS Antenna - 010-10702-00,,80000000001837,garmin,garmin ga 25mcx low profile remote gps antenna - 010-10702-00,,80000000001837,,,,,,,,Garmin 010-10702-00 Black GA 25MCX Remote GPS Antenna - 0101070200,,80000000001837,,
abt-buy_0094,417,Garmin,CHARGE YOUR UNIT WITH THIS AC ADAPTER CABLE. ALSO INCLUDES INTERNATIONAL ADAPTER - 010-10723-00,,80000000004177,garmin,charge your unit with this ac adapter cable. also includes international adapter - 010-10723-00,,80000000004177,,,,,,,,Garmin 010-10723-00 AC Adapter Cable With International Adapters - 0101072300,,80000000004177,,
abt-buy_0095,359,Garmin,Garmin USB Cable - 010-10723-01,,80000000003597,garmin,garmin usb cable - 010-10723-01,,80000000003597,,,,,,,,Garmin Replacement USB Cable - 0101072301,,80000000003597,,
abt-buy_0096,418,Garmin,Garmin Leather GPS Case,,80000000004187,garmin,garmin leather gps case,,80000000004187,,,,,,,,Garmin 010-10723-02 Carrying Case - 0101072302,,80000000004187,,
abt-buy_0097,204,Garmin,Garmin Vehicle Suction Cup mount,,80000000002047,garmin,garmin vehicle suction cup mount,,80000000002047,,,,,,,,Garmin 010-10723-03 Nuvi Suction Cup Mount - 0101072303,,80000000002047,,
abt-buy_0098,179,Garmin,Garmin Cigarette Lighter Adapter for GPS,,80000000001797,garmin,garmin cigarette lighter adapter for gps,,80000000001797,,,,,,,,Garmin Nuvi 360 010-10723-06 Black 12 Volt Adapter Cable - 0101072306,,80000000001797,,
abt-buy_0099,180,Garmin,Garmin Cigarette Lighter Adapter for GPS Navigation - 010-10747-03,,80000000001807,garmin,garmin cigarette lighter adapter for gps navigation - 010-10747-03,,80000000001807,,,,,,,,Garmin Nuvi 660 010-10747-03 Black 12 Volt Adapter Cable - 0101074703,,80000000001807,,
abt-buy_0100,38,Sharp,Sharp R-1214 Microwave Oven - R-1214,,80000000000387,sharp,sharp r-1214 microwave oven - r-1214,,80000000000387,,,,,,,,Sharp Over The Counter Microwave Oven - R1214SS,,80000000000387,,
